timestamp,branch,ticker,spot,q_mark,pnl_7d
2026-03-13 07:34:45.205842,A,BTC-USD,72356,0.0,0.0
2026-03-13 07:34:45.457432,A,ETH-USD,2127.29,0.0,0.0
2026-03-13 07:34:45.699934,A,SOL-USD,90.16,0.0,0.0
2026-03-13 07:34:46.216494,A,XRP-USD,1.43,0.0,0.0
2026-03-13 07:34:46.627704,A,DOGE-USD,0.099773,0.0,0.0
2026-03-13 07:34:46.840922,A,BNB-USD,667.18,0.0,0.0
2026-03-13 07:34:47.083199,A,ADA-USD,0.274133,0.0,0.0
2026-03-13 07:34:47.608489,A,LINK-USD,9.27,0.0,0.0
2026-03-13 07:34:48.028609,A,LTC-USD,56.03,0.0,0.0
2026-03-13 07:34:48.633606,A,TRX-USD,0.288778,0.0,0.0
2026-03-13 07:35:19.095970,A,BTC-USD,72356,0.0,0.0
2026-03-13 07:35:19.288829,A,ETH-USD,2127.29,0.0,0.0
2026-03-13 07:35:19.554972,A,SOL-USD,90.16,0.0,0.0
2026-03-13 07:35:19.996889,A,XRP-USD,1.43,0.0,0.0
2026-03-13 07:35:20.246863,A,DOGE-USD,0.099773,0.0,0.0
2026-03-13 07:35:20.496131,A,BNB-USD,667.18,0.0,0.0
2026-03-13 07:35:20.760747,A,ADA-USD,0.274133,0.0,0.0
2026-03-13 07:35:21.147670,A,LINK-USD,9.27,0.0,0.0
2026-03-13 07:35:21.451819,A,LTC-USD,56.03,0.0,0.0
2026-03-13 07:35:21.858968,A,TRX-USD,0.288778,0.0,0.0
2026-03-13 07:35:52.357991,A,BTC-USD,72324,0.0,0.0
2026-03-13 07:35:52.637925,A,ETH-USD,2126.16,0.0,0.0
2026-03-13 07:35:52.854174,A,SOL-USD,90.15,0.0,0.0
2026-03-13 07:35:53.315886,A,XRP-USD,1.43,0.0,0.0
2026-03-13 07:35:53.574808,A,DOGE-USD,0.099733,0.0,0.0
2026-03-13 07:35:53.802400,A,BNB-USD,666.95,0.0,0.0
2026-03-13 07:35:54.089289,A,ADA-USD,0.274073,0.0,0.0
2026-03-13 07:35:54.448195,A,LINK-USD,9.27,0.0,0.0
2026-03-13 07:35:54.812053,A,LTC-USD,56.03,0.0,0.0
2026-03-13 07:35:55.060149,A,TRX-USD,0.288791,0.0,0.0
2026-03-13 07:36:25.427323,A,BTC-USD,72324,0.0,0.0
2026-03-13 07:36:25.670127,A,ETH-USD,2126.16,0.0,0.0
2026-03-13 07:36:26.055578,A,SOL-USD,90.15,0.0,0.0
2026-03-13 07:36:26.280611,A,XRP-USD,1.43,0.0,0.0
2026-03-13 07:36:26.540947,A,DOGE-USD,0.099733,0.0,0.0
2026-03-13 07:36:26.853853,A,BNB-USD,666.95,0.0,0.0
2026-03-13 07:36:27.090347,A,ADA-USD,0.274073,0.0,0.0
2026-03-13 07:36:27.427450,A,LINK-USD,9.27,0.0,0.0
2026-03-13 07:36:27.938180,A,LTC-USD,56.03,0.0,0.0
2026-03-13 07:36:28.219225,A,TRX-USD,0.288791,0.0,0.0
2026-03-13 07:36:58.690530,A,BTC-USD,72333,0.0,0.0
2026-03-13 07:36:59.022380,A,ETH-USD,2126.28,0.0,0.0
2026-03-13 07:36:59.309470,A,SOL-USD,90.15,0.0,0.0
2026-03-13 07:36:59.708446,A,XRP-USD,1.43,0.0,0.0
2026-03-13 07:36:59.945996,A,DOGE-USD,0.099735,0.0,0.0
2026-03-13 07:37:00.505607,A,BNB-USD,667.0,0.0,0.0
2026-03-13 07:37:01.001793,A,ADA-USD,0.27397,0.0,0.0
2026-03-13 07:37:01.257132,A,LINK-USD,9.27,0.0,0.0
2026-03-13 07:37:01.556991,A,LTC-USD,56.03,0.0,0.0
2026-03-13 07:37:02.021551,A,TRX-USD,0.288801,0.0,0.0
2026-03-13 07:37:32.479393,A,BTC-USD,72333,0.0,0.0
2026-03-13 07:37:33.011374,A,ETH-USD,2126.28,0.0,0.0
2026-03-13 07:37:33.268382,A,SOL-USD,90.15,0.0,0.0
2026-03-13 07:37:33.779437,A,XRP-USD,1.43,0.0,0.0
2026-03-13 07:37:34.102555,A,DOGE-USD,0.099735,0.0,0.0
2026-03-13 07:37:34.512120,A,BNB-USD,667.0,0.0,0.0
2026-03-13 07:37:34.754648,A,ADA-USD,0.27397,0.0,0.0
2026-03-13 07:37:35.151718,A,LINK-USD,9.27,0.0,0.0
2026-03-13 07:37:35.447080,A,LTC-USD,56.03,0.0,0.0
2026-03-13 07:37:35.716950,A,TRX-USD,0.288801,0.0,0.0
2026-03-13 07:38:06.049266,A,BTC-USD,72349,0.0,0.0
2026-03-13 07:38:06.287483,A,ETH-USD,2127.14,0.0,0.0
2026-03-13 07:38:06.823999,A,SOL-USD,90.17,0.0,0.0
2026-03-13 07:38:07.475528,A,XRP-USD,1.43,0.0,0.0
2026-03-13 07:38:07.761763,A,DOGE-USD,0.099731,0.0,0.0
2026-03-13 07:38:08.071509,A,BNB-USD,667.15,0.0,0.0
2026-03-13 07:38:08.489395,A,ADA-USD,0.273942,0.0,0.0
2026-03-13 07:38:08.724034,A,LINK-USD,9.28,0.0,0.0
2026-03-13 07:38:09.032925,A,LTC-USD,56.03,0.0,0.0
2026-03-13 07:38:09.410065,A,TRX-USD,0.28881,0.0,0.0
2026-03-13 07:38:39.800826,A,BTC-USD,72349,0.0,0.0
2026-03-13 07:38:40.032026,A,ETH-USD,2127.14,0.0,0.0
2026-03-13 07:38:40.261657,A,SOL-USD,90.17,0.0,0.0
2026-03-13 07:38:40.567028,A,XRP-USD,1.43,0.0,0.0
2026-03-13 07:38:40.812430,A,DOGE-USD,0.099731,0.0,0.0
2026-03-13 07:38:41.297526,A,BNB-USD,667.15,0.0,0.0
2026-03-13 07:38:41.673066,A,ADA-USD,0.273942,0.0,0.0
2026-03-13 07:38:41.900737,A,LINK-USD,9.28,0.0,0.0
2026-03-13 07:38:42.182195,A,LTC-USD,56.03,0.0,0.0
2026-03-13 07:38:42.420552,A,TRX-USD,0.28881,0.0,0.0
2026-03-13 07:39:12.914977,A,BTC-USD,72332,0.0,0.0
2026-03-13 07:39:13.244418,A,ETH-USD,2126.53,0.0,0.0
2026-03-13 07:39:13.635319,A,SOL-USD,90.17,0.0,0.0
2026-03-13 07:39:13.904651,A,XRP-USD,1.43,0.0,0.0
2026-03-13 07:39:14.131262,A,DOGE-USD,0.099733,0.0,0.0
2026-03-13 07:39:14.574814,A,BNB-USD,666.9,0.0,0.0
2026-03-13 07:39:14.810557,A,ADA-USD,0.273894,0.0,0.0
2026-03-13 07:39:15.235313,A,LINK-USD,9.28,0.0,0.0
2026-03-13 07:39:15.545081,A,LTC-USD,56.05,0.0,0.0
2026-03-13 07:39:16.266688,A,TRX-USD,0.288812,0.0,0.0
2026-03-13 07:39:46.623282,A,BTC-USD,72332,0.0,0.0
2026-03-13 07:39:47.132166,A,ETH-USD,2126.53,0.0,0.0
2026-03-13 07:39:47.632867,A,SOL-USD,90.17,0.0,0.0
2026-03-13 07:39:47.907298,A,XRP-USD,1.43,0.0,0.0
2026-03-13 07:39:48.145849,A,DOGE-USD,0.099733,0.0,0.0
2026-03-13 07:39:48.388514,A,BNB-USD,666.9,0.0,0.0
2026-03-13 07:39:48.675958,A,ADA-USD,0.273894,0.0,0.0
2026-03-13 07:39:48.916083,A,LINK-USD,9.28,0.0,0.0
2026-03-13 07:39:49.196031,A,LTC-USD,56.05,0.0,0.0
2026-03-13 07:39:49.562124,A,TRX-USD,0.288812,0.0,0.0
2026-03-13 07:40:19.924375,A,BTC-USD,72289,0.0,0.0
2026-03-13 07:40:20.155080,A,ETH-USD,2124.56,0.0,0.0
2026-03-13 07:40:20.661441,A,SOL-USD,90.13,0.0,0.0
2026-03-13 07:40:20.916043,A,XRP-USD,1.43,0.0,0.0
2026-03-13 07:40:21.178549,A,DOGE-USD,0.09971,0.0,0.0
2026-03-13 07:40:21.458565,A,BNB-USD,666.57,0.0,0.0
2026-03-13 07:40:21.715362,A,ADA-USD,0.273793,0.0,0.0
2026-03-13 07:40:22.112549,A,LINK-USD,9.28,0.0,0.0
2026-03-13 07:40:22.364221,A,LTC-USD,56.05,0.0,0.0
2026-03-13 07:40:22.612151,A,TRX-USD,0.288796,0.0,0.0
2026-03-13 07:40:53.121247,A,BTC-USD,72289,0.0,0.0
2026-03-13 07:40:53.361454,A,ETH-USD,2124.56,0.0,0.0
2026-03-13 07:40:53.906943,A,SOL-USD,90.13,0.0,0.0
2026-03-13 07:40:54.158187,A,XRP-USD,1.43,0.0,0.0
2026-03-13 07:40:54.398115,A,DOGE-USD,0.09971,0.0,0.0
2026-03-13 07:40:54.622510,A,BNB-USD,666.57,0.0,0.0
2026-03-13 07:40:54.851943,A,ADA-USD,0.273793,0.0,0.0
2026-03-13 07:40:55.273565,A,LINK-USD,9.28,0.0,0.0
2026-03-13 07:40:55.582613,A,LTC-USD,56.05,0.0,0.0
2026-03-13 07:40:55.831381,A,TRX-USD,0.288796,0.0,0.0
2026-03-13 07:41:26.537276,A,BTC-USD,72300,0.0,0.0
2026-03-13 07:41:26.835159,A,ETH-USD,2124.74,0.0,0.0
2026-03-13 07:41:27.065465,A,SOL-USD,90.11,0.0,0.0
2026-03-13 07:41:27.570494,A,XRP-USD,1.43,0.0,0.0
2026-03-13 07:41:27.897188,A,DOGE-USD,0.09969,0.0,0.0
2026-03-13 07:41:28.126227,A,BNB-USD,666.26,0.0,0.0
2026-03-13 07:41:28.391009,A,ADA-USD,0.273658,0.0,0.0
2026-03-13 07:41:28.835785,A,LINK-USD,9.28,0.0,0.0
2026-03-13 07:41:29.078793,A,LTC-USD,56.04,0.0,0.0
2026-03-13 07:41:29.315911,A,TRX-USD,0.288747,0.0,0.0
2026-03-13 07:41:59.799108,A,BTC-USD,72300,0.0,0.0
2026-03-13 07:42:00.091820,A,ETH-USD,2124.74,0.0,0.0
2026-03-13 07:42:00.331181,A,SOL-USD,90.11,0.0,0.0
2026-03-13 07:42:00.741527,A,XRP-USD,1.43,0.0,0.0
2026-03-13 07:42:01.093458,A,DOGE-USD,0.09969,0.0,0.0
2026-03-13 07:42:01.307085,A,BNB-USD,666.26,0.0,0.0
2026-03-13 07:42:01.715463,A,ADA-USD,0.273658,0.0,0.0
2026-03-13 07:42:01.923259,A,LINK-USD,9.28,0.0,0.0
2026-03-13 07:42:02.392442,A,LTC-USD,56.04,0.0,0.0
2026-03-13 07:42:02.810681,A,TRX-USD,0.288747,0.0,0.0
2026-03-13 07:42:33.358333,A,BTC-USD,72322,0.0,0.0
2026-03-13 07:42:33.626508,A,ETH-USD,2124.42,0.0,0.0
2026-03-13 07:42:33.848493,A,SOL-USD,90.13,0.0,0.0
2026-03-13 07:42:34.151235,A,XRP-USD,1.43,0.0,0.0
2026-03-13 07:42:34.610669,A,DOGE-USD,0.09972,0.0,0.0
2026-03-13 07:42:34.820543,A,BNB-USD,666.54,0.0,0.0
2026-03-13 07:42:35.291029,A,ADA-USD,0.273647,0.0,0.0
2026-03-13 07:42:35.675644,A,LINK-USD,9.28,0.0,0.0
2026-03-13 07:42:35.890792,A,LTC-USD,56.05,0.0,0.0
2026-03-13 07:42:36.248073,A,TRX-USD,0.28874,0.0,0.0
